.S..No.,Block,Range
131,Common Indic Number Forms,.U+A830....U+A83F.
132,Phags-pa,.U+A840....U+A87F.
133,Saurashtra,.U+A880....U+A8DF.
134,Devanagari Extended,.U+A8E0....U+A8FF.
135,Kayah Li,.U+A900....U+A92F.
136,Rejang,.U+A930....U+A95F.
137,Hangul Jamo Extended-A,.U+A960....U+A97F.
138,Javanese,.U+A980....U+A9DF.
139,Myanmar Extended-B,.U+A9E0....U+A9FF.
140,Cham,.U+AA00....U+AA5F.
141,Myanmar Extended-A,.U+AA60....U+AA7F.
142,Tai Viet,.U+AA80....U+AADF.
143,Meetei Mayek Extensions,.U+AAE0....U+AAFF.
144,Ethiopic Extended-A,.U+AB00....U+AB2F.
145,Latin Extended-E,.U+AB30....U+AB6F.
146,Cherokee Supplement,.U+AB70....U+ABBF.
147,Meetei Mayek,.U+ABC0....U+ABFF.
148,Hangul Syllables,.U+AC00....U+D7AF.
149,Hangul Jamo Extended-B,.U+D7B0....U+D7FF.
150,CJK Compatibility Ideographs,.U+F900....U+FAFF.
151,Alphabetic Presentation Forms,.U+FB00....U+FB4F.
152,Arabic Presentation Forms-A,.U+FB50....U+FDFF.
153,Variation Selectors,.U+FE00....U+FE0F.
154,Vertical Forms,.U+FE10....U+FE1F.
155,Combining Half Marks,.U+FE20....U+FE2F.
156,CJK Compatibility Forms,.U+FE30....U+FE4F.
157,Small Form Variants,.U+FE50....U+FE6F.
158,Arabic Presentation Forms-B,.U+FE70....U+FEFF.
159,Halfwidth and Fullwidth Forms,.U+FF00....U+FFEF.
160,Specials,.U+FFF0....U+FFFF.
161,Linear B Syllabary,.U+10000....U+1007F.
162,Linear B Ideograms,.U+10080....U+100FF.
163,Aegean Numbers,.U+10100....U+1013F.
164,Ancient Greek Numbers,.U+10140....U+1018F.
165,Ancient Symbols,.U+10190....U+101CF.
166,Phaistos Disc,.U+101D0....U+101FF.
167,Lycian,.U+10280....U+1029F.
168,Carian,.U+102A0....U+102DF.
169,Coptic Epact Numbers,.U+102E0....U+102FF.
170,Old Italic,.U+10300....U+1032F.
171,Gothic,.U+10330....U+1034F.
172,Old Permic,.U+10350....U+1037F.
173,Ugaritic,.U+10380....U+1039F.
174,Old Persian,.U+103A0....U+103DF.
175,Deseret,.U+10400....U+1044F.
176,Shavian,.U+10450....U+1047F.
177,Osmanya,.U+10480....U+104AF.
178,Osage,.U+104B0....U+104FF.
179,Elbasan,.U+10500....U+1052F.
180,Caucasian Albanian,.U+10530....U+1056F.
181,Vithkuqi,.U+10570....U+105BF.
182,Todhri,.U+105C0....U+105FF.
183,Linear A,.U+10600....U+1077F.
184,Latin Extended-F,.U+10780....U+107BF.
185,Cypriot Syllabary,.U+10800....U+1083F.
186,Imperial Aramaic,.U+10840....U+1085F.
187,Palmyrene,.U+10860....U+1087F.
188,Nabataean,.U+10880....U+108AF.
189,Hatran,.U+108E0....U+108FF.
190,Phoenician,.U+10900....U+1091F.
191,Lydian,.U+10920....U+1093F.
192,Meroitic Hieroglyphs,.U+10980....U+1099F.
193,Meroitic Cursive,.U+109A0....U+109FF.
194,Kharoshthi,.U+10A00....U+10A5F.
195,Old South Arabian,.U+10A60....U+10A7F.
196,Old North Arabian,.U+10A80....U+10A9F.
197,Manichaean,.U+10AC0....U+10AFF.
198,Avestan,.U+10B00....U+10B3F.
199,Inscriptional Parthian,.U+10B40....U+10B5F.
200,Inscriptional Pahlavi,.U+10B60....U+10B7F.
201,Psalter Pahlavi,.U+10B80....U+10BAF.
202,Old Turkic,.U+10C00....U+10C4F.
203,Old Hungarian,.U+10C80....U+10CFF.
204,Hanifi Rohingya,.U+10D00....U+10D3F.
205,Garay,.U+10D40....U+10D8F.
206,Rumi Numeral Symbols,.U+10E60....U+10E7F.
207,Yezidi,.U+10E80....U+10EBF.
208,Arabic Extended-C,.U+10EC0....U+10EFF.
209,Old Sogdian,.U+10F00....U+10F2F.
210,Sogdian,.U+10F30....U+10F6F.
211,Old Uyghur,.U+10F70....U+10FAF.
212,Chorasmian,.U+10FB0....U+10FDF.
213,Elymaic,.U+10FE0....U+10FFF.
214,Brahmi,.U+11000....U+1107F.
215,Kaithi,.U+11080....U+110CF.
216,Sora Sompeng,.U+110D0....U+110FF.
217,Chakma,.U+11100....U+1114F.
218,Mahajani,.U+11150....U+1117F.
219,Sharada,.U+11180....U+111DF.
220,Sinhala Archaic Numbers,.U+111E0....U+111FF.
221,Khojki,.U+11200....U+1124F.
222,Multani,.U+11280....U+112AF.
223,Khudawadi,.U+112B0....U+112FF.
224,Grantha,.U+11300....U+1137F.
225,Tulu-Tigalari,.U+11380....U+113FF.
226,Newa,.U+11400....U+1147F.
227,Tirhuta,.U+11480....U+114DF.
228,Siddham,.U+11580....U+115FF.
229,Modi,.U+11600....U+1165F.
230,Mongolian Supplement,.U+11660....U+1167F.
231,Takri,.U+11680....U+116CF.
232,Myanmar Extended-C,.U+116D0....U+116FF.
233,Ahom,.U+11700....U+1174F.
234,Dogra,.U+11800....U+1184F.
235,Warang Citi,.U+118A0....U+118FF.
236,Dives Akuru,.U+11900....U+1195F.
237,Nandinagari,.U+119A0....U+119FF.
238,Zanabazar Square,.U+11A00....U+11A4F.
239,Soyombo,.U+11A50....U+11AAF.
240,Unified Canadian Aboriginal Syllabics Extended-A,.U+11AB0....U+11ABF.
241,Pau Cin Hau,.U+11AC0....U+11AFF.
242,Devanagari Extended-A,.U+11B00....U+11B5F.
243,Sunuwar,.U+11BC0....U+11BFF.
244,Bhaiksuki,.U+11C00....U+11C6F.
245,Marchen,.U+11C70....U+11CBF.
246,Masaram Gondi,.U+11D00....U+11D5F.
247,Gunjala Gondi,.U+11D60....U+11DAF.
248,Makasar,.U+11EE0....U+11EFF.
249,Kawi,.U+11F00....U+11F5F.
250,Lisu Supplement,.U+11FB0....U+11FBF.
251,Tamil Supplement,.U+11FC0....U+11FFF.
252,Cuneiform,.U+12000....U+123FF.
253,Cuneiform Numbers and Punctuation,.U+12400....U+1247F.
